"Shopping list created successfully.","Shopping list created successfully."
"Error occurred while adding list.","Error occurred while adding list."
"Error occurred while adding product to list.","Error occurred while adding product to list."
"The product %s has added already in the list.","The product %s has added already in the list."
"your session has timed out.","your session has timed out."
"Shopping list deleted successfully.","Shopping list deleted successfully."
"Something went wrong.","Something went wrong."
"No matches found","No matches found"
"%s has added to your shopping list.","%s has added to your shopping list."
"%s has added to your %s shopping list.","%s has added to your %s shopping list."
"%s list name already exist.","%s list name already exist."
"The product %s already exist in the %s list.","The product %s already exist in the %s list."
"The product %s already exist in the list.","The product %s already exist in the list."
"Add New Shopping List","Add New Shopping List"
"Enter a name for your new shopping list and then click submit:","Enter a name for your new shopping list and then click submit:"
"Shopping List Name","Shopping List Name"
"Shopping List","Shopping List"
"Customer shopping list:","Customer shopping list:"
"There is no item for the list.","There is no item for the list."
"Add Product to Shopping List","Add Product to Shopping List"
"Search product by name / SKU:","Search product by name / SKU:"
"Add New Item to List","Add New Item to List"
"Delete List","Delete List"
"Add List to Cart","Add List to Cart"
"Please add any one item to add in the list","Please add any one item to add in the list"
"Loading...","Loading..."
"<a href=""%s"">Login</a> to add this product on shopping list.","<a href=""%s"">Login</a> to add this product on shopping list."
"Some problem while adding the product %s.","Some problem while adding the product %s."
"%s has added to shopping cart.","%s has added to shopping cart."
"Wrong product selection.","Wrong product selection."
"There is no items in your list","There is no items in your list"
"Maximum 30 charactes only.","Maximum 30 charactes only."
"Add to Shopping List","Add to Shopping List"
"Enter a name for your new shopping list:","Enter a name for your new shopping list:"
"No Shopping list is associated with this account. Please create one.","No Shopping list is associated with this account. Please create one."
"Choose your shopping list:","Choose your shopping list:"
"Manage shopping list:","Manage shopping list:"
"Are you sure you want to delete shoppinglist","Are you sure you want to delete shoppinglist"
"Please choose any one of the items from list","Please choose any one of the items from list"
"Add to Cart","Add to Cart"
"Add new shopping list","Add new shopping list"
"This is a required field.","This is a required field."
"The product %s is removed from the %s list.","The product %s is removed from the %s list."
